"","ID","RechVol","prevpost","Cumul.Dis","RechPerDis","flood"
"1",1,28699.4253279414,2,138472067.995704,0.000207257866105038,FALSE
"2",2,356653.904274186,2,11961832778.8655,2.98159914845435e-05,TRUE
"3",3,34586.3630856764,2,757663988.719448,4.56486827942449e-05,NA
"4",4,137215.726481577,2,2642990570.75701,5.19168429883107e-05,TRUE
"5",5,69352.7480897326,2,4849951492.80797,1.42996787065966e-05,FALSE
"6",6,51641.3953845163,2,5675452924.59448,9.09907915203193e-06,FALSE
"7",7,15707.1437387733,2,889917158.320533,1.76501189935658e-05,FALSE
"8",8,102238.349812989,1,325241807.651762,0.00031434565731616,TRUE
"9",9,77056.2927355198,1,383281730.622441,0.000201043479454087,TRUE
"10",10,385860.819425336,1,12016160231.3978,3.21118237435863e-05,TRUE
"11",11,45666.6565045009,1,154920919.42206,0.000294773983235206,TRUE
"12",12,149818.161231789,1,1208675200.79923,0.000123952374577324,TRUE
"13",13,125955.647623747,1,1075557522.38724,0.000117107309466986,TRUE
"14",14,276688.772496572,1,5364004082.87236,5.15825059455229e-05,TRUE
"15",15,18134.3958069838,1,90327348.296055,0.00020076307064331,FALSE
"16",16,991081.877808804,1,132444279217.579,7.48301009045969e-06,TRUE
"17",17,7420.27931079507,1,9258222.27591,0.00080147992667045,FALSE
"18",18,546815.68699681,1,55655455736.6475,9.82501499195788e-06,TRUE
"19",19,992570.51423724,1,162007649382.656,6.12668919041486e-06,TRUE
"20",20,149280.631958979,1,41893481304.0531,3.56333795407298e-06,TRUE
"21",21,354190.768877419,1,177887044133.744,1.99109929900865e-06,TRUE
"22",22,182536.335390959,1,15004556762.6409,1.2165393372062e-05,TRUE
"23",23,39002.8735542762,1,1023111606.04799,3.81218171348225e-05,TRUE
"24",24,85287.2931454716,1,5356439120.45416,1.59223863517449e-05,TRUE
"25",25,40451.0992121503,1,1268636600.31931,3.18854896681752e-05,TRUE
"26",26,28541.4796055077,1,2198915016.92561,1.29798011227431e-05,TRUE
